Identifier_targ,Title,Year,What_is_available,Sample_overlap_target_base,Category_targ,Phenotype_targ,Tissue_targ,Array_targ,Ancestry_targ,Developmental_period_targ,Covariates_targ,MPS_id,Identifier_base,Category_base,Phenotype_base,Tissue_base,Array_base,Ancestry_base,Developmental_period_base,Covariates_base
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CXCL11,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCXCL11,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CXCL11,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CXCL9,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCXCL9,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CXCL9,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Ectodysplasin-A,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingEctodysplasin-A,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Ectodysplasin-A,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,ENPP7,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingENPP7,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,ENPP7,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,E-selectin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingE-selectin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,E-selectin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,ESM-1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingESM-1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,ESM-1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Ezrin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingEzrin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Ezrin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,FAP,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingFAP,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,FAP,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,FCER2,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingFCER2,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,FCER2,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,FCGR3B,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingFCGR3B,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,FCGR3B,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,FcRL2,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingFcRL2,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,FcRL2,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,FGF21,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingFGF21,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,FGF21,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Galectin-4,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingGalectin-4,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Galectin-4,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,GCSF,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingGCSF,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,GCSF,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2024) - DNAm scores for serum GDF15,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,GDF15,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2024) - DNAm scores for serum GDF15GDF15,Gadd (2024) - DNAm scores for serum GDF15,Biological markers,GDF15,Whole blood,EPICv1,European,Adults,"age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates"
Gadd (2024) - DNAm scores for serum GDF15,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,GDF15,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2024) - DNAm scores for serum GDF15GDF15,Gadd (2024) - DNAm scores for serum GDF15,Biological markers,GDF15,Whole blood,EPICv1,European,Adults,"age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,GDF8,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingGDF8,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,GDF8,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,GHR,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingGHR,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,GHR,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,GPIba,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingGPIba,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,GPIba,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Granulysin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingGranulysin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Granulysin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Granzyme A,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingGranzyme A,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Granzyme A,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,HCII,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingHCII,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,HCII,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,HGF,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingHGF,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,HGF,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,HGFA,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingHGFA,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,HGFA,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,HGFI,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingHGFI,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,HGFI,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,ICAM5,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingICAM5,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,ICAM5,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,IGFBP1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingIGFBP1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,IGFBP1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,IGFBP4,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingIGFBP4,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,IGFBP4,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,IL19,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingIL19,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,IL19,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Stevenson (2021) - Creating and Validating a DNA,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,IL6,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Stevenson (2021) - Creating and Validating a DNAIL6,Stevenson (2021) - Creating and Validating a DNA,Biological markers,IL6,Whole blood,450K,European,Adults,"age, sex, cell-type"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Insulin receptor,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingInsulin receptor,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Insulin receptor,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Lactotransferrin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingLactotransferrin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Lactotransferrin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,LGALS3BP,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingLGALS3BP,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,LGALS3BP,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,L-selectin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingL-selectin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,L-selectin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,LY9,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingLY9,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,LY9,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Lymphotoxin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingLymphotoxin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Lymphotoxin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,MIA,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingMIA,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,MIA,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,MMP1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingMMP1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,MMP1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,MMP12,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingMMP12,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,MMP12,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,MMP9,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingMMP9,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,MMP9,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,MRC2,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingMRC2,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,MRC2,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Myeloperoxidase,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingMyeloperoxidase,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Myeloperoxidase,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,NCAM1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingNCAM1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,NCAM1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,NCDase,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingNCDase,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,NCDase,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Neprilysin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingNeprilysin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Neprilysin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,NMNAT1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingNMNAT1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,NMNAT1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,NOTCH1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingNOTCH1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,NOTCH1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2024) - DNAm scores for serum GDF15,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,NTproBNP,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2024) - DNAm scores for serum GDF15NTproBNP,Gadd (2024) - DNAm scores for serum GDF15,Biological markers,NTproBNP,Whole blood,EPICv1,European,Adults,"age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates"
Gadd (2024) - DNAm scores for serum GDF15,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,NTproBNP,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2024) - DNAm scores for serum GDF15NTproBNP,Gadd (2024) - DNAm scores for serum GDF15,Biological markers,NTproBNP,Whole blood,EPICv1,European,Adults,"age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,NTRK3,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingNTRK3,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,NTRK3,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Oncostatin-M,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingOncostatin-M,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Oncostatin-M,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Osteomodulin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingOsteomodulin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Osteomodulin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Pappalysin-1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingPappalysin-1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Pappalysin-1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,PIGR,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingPIGR,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,PIGR,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,RARRES2,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingRARRES2,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,RARRES2,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Resistin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingResistin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Resistin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
