Author,Year,Title,Journal,DOI,n MPSs,Phenotype(s),Category,n CpGs,Based on,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
Xu et al.,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,Cancer Epidemiol Biomarkers Prev,10.1158/1055-9965.Epi-21-0009,2.0,Maternal smoking,Lifestyle and environment,"Multiple (26.0, 28.0)",Pre-established MPS,Cohort study,482.0,Birth,Dried bloodspot,"Multiple (EPICv1, 450K)",Mixed,"['Xu, K.', 'Li, S.', 'Whitehead, T. P.', 'Pandey, P.', 'Kang, A. Y.', 'Morimoto, L. M.', 'Kogan, S. C.', 'Metayer, C.', 'Wiemels, J. L.', 'de Smith, A. J.']",2021-08-03
McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,Clin Epigenetics,10.1186/s13148-024-01701-2,104.0,"Multiple (ADAMTS, Adiponectin, Afamin, Alpha-L-iduronidase, Aminoacylase-1, Beta-2-microglobulin, BMP1, CCL11, CCL17, CCL18, CCL21, CCL22, CCL25, CD163, CD209, CD48, CD5, CD6, CHIT1, Coagulation factor VII, Complement C4, Complement C5a, Complement C9, Contactin-4, CRTAM, CXCL10, CXCL11, CXCL9, Ectodysplasin-A, ENPP7, E-selectin, ESM-1, Ezrin, FAP, FCER2, FCGR3B, FcRL2, FGF21, Galectin-4, GCSF, GDF8, GHR, GPIba, Granulysin, Granzyme A, HCII, HGF, HGFA, HGFI, ICAM5, IGFBP1, IGFBP4, IL19, Insulin receptor, Lactotransferrin, LGALS3BP, L-selectin, LY9, Lymphotoxin, MIA, MMP1, MMP12, MMP9, MRC2, Myeloperoxidase, NCAM1, NCDase, Neprilysin, NMNAT1, NOTCH1, NTRK3, Oncostatin-M, Osteomodulin, Pappalysin-1, PIGR, RARRES2, Resistin, S100A12, S100A9, SCGF alpha, SCGF beta, Semaphorin-3E, SERPINA3, SHBG, Sialoadhesin, SKR3, SLITRK5, SMPD1, Stanniocalcin-1, Testican-2, TGF alpha, Thrombopoietin receptor, Thrombospondin-2, TNFRSF17, TNFRSF1B, Trypsin-2, Tryptase beta-2, VCAM1, VEGFA, WFIKKN2, GDF15, NTproBNP, C-reactive protein, IL6)",Biological markers,"Multiple (51.0, 39.0, 37.0, 67.0, 395.0, 311.0, 45.0, 364.0, 119.0, 98.0, 36.0, 59.0, 151.0, 163.0, 17.0, 127.0, 41.0, 111.0, 26.0, 263.0, 109.0, 64.0, 196.0, 176.0, 56.0, 10.0, 156.0, 126.0, 55.0, 32.0, 74.0, 102.0, 38.0, 103.0, 58.0, 79.0, 29.0, 108.0, 179.0, 52.0, 13.0, 72.0, 20.0, 132.0, 120.0, 81.0, 186.0, 99.0, 124.0, 69.0, 34.0, 257.0, 96.0, 35.0, 121.0, 50.0, 44.0, 33.0, 118.0, 125.0, 180.0, 27.0, 117.0, 21.0, 82.0, 107.0, 258.0, 68.0, 28.0, 161.0, 110.0, 61.0, 62.0, 100.0, 183.0, 83.0, 25.0, 106.0, 159.0, 66.0, 1413.0, 1619.0, 7.0)",Pre-established MPS,Cohort study,332.0,Birth,Saliva,EPICv1,White,"['McKinnon, K.', 'Conole, E. L. S.', 'Vaher, K.', 'Hillary, R. F.', 'Gadd, D. A.', 'Binkowska, J.', 'Sullivan, G.', 'Stevenson, A. J.', 'Corrigan, A.', 'Murphy, L.', 'Whalley, H. C.', 'Richardson, H.', 'Marioni, R. E.', 'Cox, S. R.', 'Boardman, J. P.']",2024-06-29
Karimi et al.,2024.0,Epigenomic and phenotypic characterization of DEGCAGS syndrome,Eur J Hum Genet,10.1038/s41431-024-01702-y,1.0,DEGCAGS syndrome,Genetic syndromes,200.0,Raw individual-level data,Case control,72.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Karimi, K.', 'Weis, D.', 'Aukrust, I.', 'Hsieh, T. C.', 'Horackova, M.', 'Paulsen, J.', 'Mendoza Londono, R.', 'Dupuis, L.', 'Dickson, M.', 'Lesman, H.', 'Lau, T.', 'Murphy, D.', 'Hama Salih, K.', 'Al-Musawi, B. M. S.', 'Al-Obaidi, R. G. Y.', 'Rydzanicz, M.', 'Biela, M.', 'Santos, M. S.', 'Aldeeri, A.', 'Gazda, H. T.', 'Pais, L.', 'Shril, S.', 'Dollner, H.', 'Bartakke, S.', 'Laccone, F.', 'Soltysova, A.', 'Kitzler, T.', 'Soliman, N. A.', 'Relator, R.', 'Levy, M. A.', 'Kerkhof, J.', 'Rzasa, J.', 'Houlden, H.', 'Pilshofer, G. V.', 'Jobst-Schwan, T.', 'Hildebrandt, F.', 'Sousa, S. B.', 'Maroofian, R.', 'Yu, T. W.', 'Krawitz, P.', 'Sadikovic, B.', 'Douzgou Houge, S.']",2024-12-03
van der Laan et al.,2022.0,Episignature Mapping of TRIP12 Provides Functional Insight into Clark–Baraitser Syndrome,Int J Mol Sci,10.3390/ijms232213664,1.0,Clark–Baraitser Syndrome,Genetic syndromes,105.0,Raw individual-level data,Case control,192.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['van der Laan, L.', 'Rooney, K.', 'Alders, M.', 'Relator, R.', 'McConkey, H.', 'Kerkhof, J.', 'Levy, M. A.', 'Lauffer, P.', 'Aerden, M.', 'Theunis, M.', 'Legius, E.', 'Tedder, M. L.', 'Vissers, L. E. L. M.', 'Koene, S.', 'Ruivenkamp, C.', 'Hoffer, M. J. V.', 'Wieczorek, D.', 'Bramswig, N. C.', 'Herget, T.', 'González, V. L.', 'Santos-Simarro, F.', 'Tørring, P. M.', 'Denomme-Pichon, A. S.', 'Isidor, B.', 'Keren, B.', 'Julia, S.', 'Schaefer, E.', 'Francannet, C.', 'Maillard, P. Y.', 'Misra-Isrie, M.', 'Van Esch, H.', 'Mannens, M. M. A. M.', 'Sadikovic, B.', 'van Haelst, M. M.', 'Henneman, P.']",2022-12-02
Oexle et al.,2023.0,Episignature analysis of moderate effects and mosaics,Eur J Hum Genet,10.1038/s41431-023-01406-9,2.0,"Multiple (KDM2B-related neurodevelopmental disorder, KMT2D)",Genetic syndromes,"Multiple (144.0, 68.0)",Raw individual-level data,Case control,268.0,Childhood and adolescence,Leukocytes,EPICv1,Not reported,"['Oexle, K.', 'Zech, M.', 'Stühn, L. G.', 'Siegert, S.', 'Brunet, T.', 'Schmidt, W. M.', 'Wagner, M.', 'Schmidt, A.', 'Engels, H.', 'Tilch, E.', 'Monestier, O.', 'Destrėe, A.', 'Hanker, B.', 'Boesch, S.', 'Jech, R.', 'Berutti, R.', 'Kaiser, F.', 'Haslinger, B.', 'Haack, T. B.', 'Garavaglia, B.', 'Krawitz, P.', 'Winkelmann, J.', 'Mirza-Schreiber, N.']",2023-06-29
Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,Am J Hum Genet,10.1016/j.ajhg.2020.01.019,44.0,"Multiple (ADNP-1 syndrome, ADNP-2 syndrome, AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM), BAFopathy syndrome: Coffin-Siris 1 (CSS1), BAFopathy syndrome: Coffin-Siris 3 (CSS3), BAFopathy syndrome: Coffin-Siris 4 (CSS4), BAFopathy syndrome: Nicolaides–Baraitser (NCBRS), Börjeson-Forssman-Lehmann syndrome (BFLS), CHARGE syndrome, Claes-Jensen syndrome, Cornelia de Lange syndrome 1 (CdLS), Cornelia de Lange syndrome 2 (CdLS), Cornelia de Lange syndrome 3 (CdLS), Cornelia de Lange syndrome 4 (CdLS), Down syndrome, Dup7 syndrome, Epileptic encephalopathy, childhood-onset (EEOC), Floating Harbor syndrome (FLHS), Genitopatellar syndrome (GTPTS), Hunter McAlpine syndrome (HMA), ICF1 syndrome, ICF2 syndrome, ICF3 syndrome, ICF4 syndrome, Intellectual developmental disorder, autosomal dominant 51 (MRD51), Intellectual developmental disorder, X-linked 93 (MRX93), Intellectual developmental disorder, X-linked 97 (MRX97), Intellectual developmental disorder, X-linked syndromic, Nascimento-type (MRXSN), Intellectual developmental disorder, X-linked, Snyder-Robinson type (MRXSSR), Kabuki syndrome 1, Kabuki syndrome 2, Kleefstra syndrome (Kleefstra), Koolen de Vreis syndrome (KDVS), Ohdo syndrome, SBBYSS variant (SBBYSS), Rahman syndrome (RMNS), Rubinstein-Taybi syndrome 1 (RSTS1), Rubinstein-Taybi syndrome 2 (RSTS2), SETD1B-related syndrome, Sotos syndrome, Tatton–Brown–Rahman syndrome (TBRS), Wiedemann-Steiner syndrome (WDSTS), Williams–Beuren deletion syndrome (WBS), X-linked alpha-thalassemia/mental retardation syndrome (ATRX))",Genetic syndromes,"Multiple (105.0, 109.0, 103.0, 140.0, 117.0, 148.0, 127.0, 128.0, 124.0, 85.0, 111.0, 99.0, 106.0, 113.0, 95.0, 69.0, 110.0, 125.0, 142.0, 153.0, 107.0, 136.0, 114.0, 139.0, 91.0, 112.0, 104.0, 82.0, 101.0)",Raw individual-level data,Case control,"Multiple (768.0, 762.0, 754.0, 889.0, 753.0, 809.0, 783.0, 790.0, 788.0, 759.0, 769.0, 757.0, 756.0, 766.0, 752.0, 836.0, 755.0, 811.0, 763.0, 765.0, 770.0, 767.0)",Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
Tang et al.,2022.0,Evaluation of cross-platform compatibility of a DNA methylation-based glucocorticoid response biomarker,Clin Epigenetics,10.1186/s13148-022-01352-1,2.0,"Multiple (Neutrophil dexamethasone methylation index (NDMI 450), Neutrophil dexamethasone methylation index (NDMI 850))",Biological markers,"Multiple (22.0, 28.0)",Raw individual-level data,Case control,"Multiple (177.0, 326.0)",Birth,Cord blood,"Multiple (450K, EPICv1)",Not reported,"['Tang, E.', 'Wiencke, J. K.', 'Warrier, G.', 'Hansen, H.', 'McCoy, L.', 'Rice, T.', 'Bracci, P. M.', 'Wrensch, M.', 'Taylor, J. W.', 'Clarke, J. L.', 'Koestler, D. C.', 'Salas, L. A.', 'Christensen, B. C.', 'Kelsey, K. T.', 'Molinaro, A. M.']",2022-10-28
Ciolfi et al.,2020.0,Frameshift mutations at the C-terminus of HIST1H1E result in a specific DNA hypomethylation signature,Clin Epigenetics,10.1186/s13148-019-0804-0,1.0,Rahman syndrome (RMNS),Genetic syndromes,9553.0,Raw individual-level data,Case control,66.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Ciolfi, A.', 'Aref-Eshghi, E.', 'Pizzi, S.', 'Pedace, L.', 'Miele, E.', 'Kerkhof, J.', 'Flex, E.', 'Martinelli, S.', 'Radio, F. C.', 'Ruivenkamp, C. A. L.', 'Santen, G. W. E.', 'Bijlsma, E.', 'Barge-Schaapveld, D.', 'Ounap, K.', 'Siu, V. M.', 'Kooy, R. F.', 'Dallapiccola, B.', 'Sadikovic, B.', 'Tartaglia, M.']",2020-01-17
Bend et al.,2019.0,Gene domain-specific DNA methylation episignatures highlight distinct molecular entities of ADNP syndrome,Clin Epigenetics,10.1186/s13148-019-0658-5,2.0,"Multiple (ADNP-1 syndrome, ADNP-2 syndrome)",Genetic syndromes,163.0,Raw individual-level data,Case control,55.0,"Multiple (Childhood and adolescence, Early childhood)",Peripheral blood,EPICv1,Not reported,"['Bend, E. G.', 'Aref-Eshghi, E.', 'Everman, D. B.', 'Rogers, R. C.', 'Cathey, S. S.', 'Prijoles, E. J.', 'Lyons, M. J.', 'Davis, H.', 'Clarkson, K.', 'Gripp, K. W.', 'Li, D.', 'Bhoj, E.', 'Zackai, E.', 'Mark, P.', 'Hakonarson, H.', 'Demmer, L. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Rodenhiser, D.', 'Friez, M. J.', 'Stevenson, R. E.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-27
Hu et al.,2022.0,Genetic and environment effects on structural neuroimaging endophenotype for bipolar disorder: a novel molecular approach,Transl Psychiatry,10.1038/s41398-022-01892-3,1.0,Bipolar disorder,Neuro-psychiatric health indicators,36.0,Raw individual-level data,Case control,119.0,Adolescence,Peripheral blood,EPICv1,Mixed,"['Hu, B.', 'Cha, J.', 'Fullerton, J. M.', 'Hesam-Shariati, S.', 'Nakamura, K.', 'Nurnberger, J. I.', 'Anand, A.']",2022-04-04
Pishva et al.,2023.0,Genome-wide DNA methylation analysis of aggressive behaviour: a longitudinal population-based study,J Child Psychol Psychiatry,10.1111/jcpp.13782,1.0,Life history of agression,Neuro-psychiatric health indicators,72.0,Raw individual-level data,Case control,95.0,Adolescence,Whole blood,EPICv1,European,"['Pishva, E.', 'van den Hove, D. L. A.', 'Laroche, V.', 'Lvovs, A.', 'Roy, A.', 'Ortega, G.', 'Burrage, J.', 'Veidebaum, T.', 'Kanarik, M.', 'Mill, J.', 'Lesch, K. P.', 'Harro, J.']",2023-07-03
El-Zein et al.,2020.0,Genome-wide DNA methylation profiling identifies two novel genes in cervical neoplasia,Int J Cancer,10.1002/ijc.32880,1.0,Cervical neoplasma,Cancer,2.0,Raw individual-level data,Case control,186.0,Birth,Cervical cells,EPICv1,European,"['El-Zein, M.', 'Cheishvili, D.', 'Gotlieb, W.', 'Gilbert, L.', 'Hemmings, R.', 'Behr, M. A.', 'Szyf, M.', 'Franco, E. L.']",2020-02-12
Xiao et al.,2024.0,Genome-wide epigenetic signatures facilitated the variant classification of the PURA gene and uncovered the pathomechanism of PURA-related neurodevelopmental disorders,Genet Med,10.1016/j.gim.2024.101167,1.0,PURA-related neurodevelopmental disorder,Genetic syndromes,480.0,Raw individual-level data,Case control,39.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Xiao, B.', 'Dai, W.', 'Zhan, Y.', 'Qiu, W.', 'Zhang, H.', 'Liu, D.', 'Xu, N.', 'Yu, Y.']",2024-05-17
Aref-Eshghi et al.,2018.0,Genomic DNA Methylation Signatures Enable Concurrent Diagnosis and Clinical Genetic Variant Classification in Neurodevelopmental Syndromes,Am J Hum Genet,10.1016/j.ajhg.2017.12.008,8.0,"Multiple (Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant (ADCADN), CHARGE syndrome, Claes-Jensen syndrome, Floating Harbor syndrome (FLHS), Genitopatellar syndrome (GTPTS), Kabuki syndrome, Sotos syndrome, X-linked alpha-thalassemia/mental retardation syndrome (ATRX))",Genetic syndromes,929.0,Raw individual-level data,Case control,"Multiple (25.0, 235.0, 42.0, 69.0, 23.0, 176.0, 150.0, 79.0)","Multiple (Not reported, Childhood and adolescence)",Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Rodenhiser, D. I.', 'Schenkel, L. C.', 'Lin, H.', 'Skinner, C.', 'Ainsworth, P.', 'Paré, G.', 'Hood, R. L.', 'Bulman, D. E.', 'Kernohan, K. D.', 'Boycott, K. M.', 'Campeau, P. M.', 'Schwartz, C.', 'Sadikovic, B.']",2018-01-04
Euclydes et al.,2022.0,Gestational age acceleration is associated with epigenetic biomarkers of prenatal physiologic stress exposure,Clin Epigenetics,10.1186/s13148-022-01374-9,1.0,C-reactive protein,Biological markers,7.0,Pre-established MPS,Cohort study,83.0,Birth,Cord blood,450K,Hispanic,"['Euclydes, V.', 'Gomes, C.', 'Gouveia, G.', 'Gastaldi, V. D.', 'Feltrin, A. S.', 'Camilo, C.', 'Vieira, R. P.', 'Felipe-Silva, A.', 'Grisi, S.', 'Fink, G.', 'Brentani, A.', 'Brentani, H.']",2022-11-28
Provencal et al.,2020.0,Glucocorticoid exposure during hippocampal neurogenesis primes future stress response by inducing changes in DNA methylation,Proc Natl Acad Sci U S A,10.1073/pnas.1820842116,1.0,Glucocorticoid ,Lifestyle and environment,24.0,Raw individual-level data,Population-based,930.0,Birth,"Multiple (Whole blood, HPCs)",450K,European,"['Provencal, N.', 'Arloth, J.', 'Cattaneo, A.', 'Anacker, C.', 'Cattane, N.', 'Wiechmann, T.', 'Roh, S.', 'Kodel, M.', 'Klengel, T.', 'Czamara, D.', 'Muller, N. S.', 'Lahti, J.', 'Raikkonen, K.', 'Pariante, C. M.', 'Binder, E. B.']",2020-09-22
Karimi et al.,2024.0,"Identification of DNA methylation episignature for the intellectual developmental disorder, autosomal dominant 21 syndrome, caused by variants in the CTCF gene",Gen Med,10.1016/j.gim.2023.101041,1.0,"Intellectual developmental disorder, autosomal dominant 21 (MRD21)",Genetic syndromes,226.0,Raw individual-level data,Case control,72.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Karimi, K.', 'Mol, M. O.', 'Haghshenas, S.', 'Relator, R.', 'Levy, M. A.', 'Kerkhof, J.', 'McConkey, H.', 'Brooks, A.', 'Zonneveld-Huijssoon, E.', 'Gerkes, E. H.', 'Tedder, M. L.', 'Vissers, L.', 'Salzano, E.', 'Piccione, M.', 'Asaftei, S. D.', 'Carli, D.', 'Mussa, A.', 'Shukarova-Angelovska, E.', 'Trajkova, S.', 'Brusco, A.', 'Merla, G.', 'Alders, M. M.', 'Bouman, A.', 'Sadikovic, B.']",2024-01-22
Rooney et al.,2021.0,Identification of a DNA Methylation Episignature in the 22q11.2 Deletion Syndrome,Int J Mol Sci,10.3390/ijms22168611,1.0,22q11.2 deletion syndrome,Genetic syndromes,160.0,Raw individual-level data,Case control,,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Rooney, K.', 'Levy, M. A.', 'Haghshenas, S.', 'Kerkhof, J.', 'Rogaia, D.', 'Tedesco, M. G.', 'Imperatore, V.', 'Mencarelli, A.', 'Squeo, G. M.', 'Di Venere, E.', 'Di Cara, G.', 'Verrotti, A.', 'Merla, G.', 'Tedder, M. L.', 'DuPont, B. R.', 'Sadikovic, B.', 'Prontera, P.']",2021-08-10
Haghshenas et al.,2024.0,Identification of a DNA methylation episignature for recurrent constellations of embryonic malformations,Am J Hum Genet,10.1016/j.ajhg.2024.07.005,1.0,Recurrent constellations of embryonic malformations,Genetic syndromes,377.0,Raw individual-level data,Case control,120.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Haghshenas, S.', 'Karimi, K.', 'Stevenson, R. E.', 'Levy, M. A.', 'Relator, R.', 'Kerkhof, J.', 'Rzasa, J.', 'McConkey, H.', 'Lauzon-Young, C.', 'Balci, T. B.', 'White-Brown, A. M.', 'Carter, M. T.', 'Richer, J.', 'Armour, C. M.', 'Sawyer, S. L.', 'Bhola, P. T.', 'Tedder, M. L.', 'Skinner, C. D.', 'van Rooij, I. A. L. M.', 'van de Putte, R.', 'de Blaauw, I.', 'Koeck, R. M.', 'Hoischen, A.', 'Brunner, H.', 'Esteki, M. Z.', 'Pelet, A.', 'Lyonnet, S.', 'Amiel, J.', 'Boycott, K. M.', 'Sadikovic, B.']",2024-08-08
Haghshenas et al.,2023.0,"Identification of a DNA methylation signature for Renpenning syndrome (RENS1), a spliceopathy",Eur J Hum Genet,10.1038/s41431-023-01313-z,1.0,Renpenning syndrome (RENS1),Genetic syndromes,116.0,Raw individual-level data,Case control,12.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Haghshenas, S.', 'Foroutan, A.', 'Bhai, P.', 'Levy, M. A.', 'Relator, R.', 'Kerkhof, J.', 'McConkey, H.', 'Skinner, C. D.', 'Caylor, R. C.', 'Tedder, M. L.', 'Stevenson, R. E.', 'Sadikovic, B.', 'Schwartz, C. E.']",2023-02-22
Pagliara et al.,2023.0,Identification of a robust DNA methylation signature for Fanconi anemia,Am J Hum Genet,10.1016/j.ajhg.2023.09.014,1.0,Fanconi Anemia (FA),Genetic syndromes,82.0,Raw individual-level data,Case control,136.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Pagliara, D.', 'Ciolfi, A.', 'Pedace, L.', 'Haghshenas, S.', 'Ferilli, M.', 'Levy, M. A.', 'Miele, E.', 'Nardini, C.', 'Cappelletti, C.', 'Relator, R.', 'Pitisci, A.', 'De Vito, R.', 'Pizzi, S.', 'Kerkhof, J.', 'McConkey, H.', 'Nazio, F.', 'Kant, S. G.', 'Di Donato, M.', 'Agolini, E.', 'Matraxia, M.', 'Pasini, B.', 'Pelle, A.', 'Galluccio, T.', 'Novelli, A.', 'Barakat, T. S.', 'Andreani, M.', 'Rossi, F.', 'Mecucci, C.', 'Savoia, A.', 'Sadikovic, B.', 'Locatelli, F.', 'Tartaglia, M.']",2023-11-07
Caraffi et al.,2024.0,Identification of the DNA methylation signature of Mowat-Wilson syndrome,European Journal of Human Genetics,10.1038/s41431-024-01548-4,1.0,Mowat-Wilson syndrome (MOWS),Genetic syndromes,296.0,Raw individual-level data,Case control,,Childhood and adolescence,Leukocytes,EPICv1,Not reported,"['Caraffi, Stefano Giuseppe', 'van der Laan, Liselot', 'Rooney, Kathleen', 'Trajkova, Slavica', 'Zuntini, Roberta', 'Relator, Raissa', 'Haghshenas, Sadegheh', 'Levy, Michael A.', 'Baldo, Chiara', 'Mandrile, Giorgia', 'Lauzon, Carolyn', 'Cordelli, Duccio Maria', 'Ivanovski, Ivan', 'Fetta, Anna', 'Sukarova, Elena', 'Brusco, Alfredo', 'Pavinato, Lisa', 'Pullano, Verdiana', 'Zollino, Marcella', 'McConkey, Haley', 'Tartaglia, Marco', 'Ferrero, Giovanni Battista', 'Sadikovic, Bekim', 'Garavelli, Livia']",2024-06-01
Conole et al.,2023.0,Immuno-epigenetic signature derived in saliva associates with the encephalopathy of prematurity and perinatal inflammatory disorders,Brain Behav Immun,10.1016/j.bbi.2023.03.011,1.0,C-reactive protein,Biological markers,7.0,Pre-established MPS,Cohort study,258.0,Very early childhood,Saliva,EPICv1,European,"['Conole, E. L. S.', 'Vaher, K.', 'Cabez, M. B.', 'Sullivan, G.', 'Stevenson, A. J.', 'Hall, J.', 'Murphy, L.', 'Thrippleton, M. J.', 'Quigley, A. J.', 'Bastin, M. E.', 'Miron, V. E.', 'Whalley, H. C.', 'Marioni, R. E.', 'Boardman, J. P.', 'Cox, S. R.']",2023-05-03
Barker et al.,2018.0,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,Dev Psychopathol,10.1017/s0954579418000330,3.0,C-reactive protein,Biological markers,7.0,Pre-established MPS,Population-based,785.0,"Multiple (Adolescence, Birth, Mid childhood)","Multiple (Peripheral blood, Cord blood)",450K,European,"['Barker, E. D.', 'Cecil, C. A. M.', 'Walton, E.', 'Houtepen, L. C.', ""O'Connor, T. G."", 'Danese, A.', 'Jaffee, S. R.', 'Jensen, S. K. G.', 'Pariante, C.', 'McArdle, W.', 'Gaunt, T. R.', 'Relton, C. L.', 'Roberts, S.']",2018-08-03
Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,J Pers Med,10.3390/jpm12010075,6.0,Asthma,Physical health indicators,"Multiple (6.0, 110.0)",Published summary statistics (semi-supervised),Population-based,747.0,Very early childhood,Dried bloodspot,EPICv1,European,"['Kothalawala, D. M.', 'Kadalayil, L.', 'Curtin, J. A.', 'Murray, C. S.', 'Simpson, A.', 'Custovic, A.', 'Tapper, W. J.', 'Arshad, S. H.', 'Rezwan, F. I.', 'Holloway, J. W.']",2022-01-21
van Oirsouw et al.,2025.0,KDM2B variants in the CxxC domain impair its DNA-binding ability and cause a distinct neurodevelopmental syndrome,Hum Mol Genet,10.1093/hmg/ddaf082,1.0,CxxC domain KM2B-related NDD,Genetic syndromes,107.0,Pre-established MPS,Cohort study,19.0,Childhood and adolescence,Whole blood,Not reported,Not reported,"['van Oirsouw, A. S. E.', 'Hadders, M. A.', 'Koetsier, M.', 'Peters, E. D. J.', 'Assia Batzir, N.', 'Barakat, T. S.', 'Baralle, D.', 'Beil, A.', 'Bonnet-Dupeyron, M. N.', 'Boone, P. M.', 'Bouman, A.', 'Carere, D. A.', 'Cogne, B.', 'Dunnington, L.', 'Farach, L. S.', 'Genetti, C. A.', 'Isidor, B.', 'Januel, L.', 'Joshi, A.', 'Lahiri, N.', 'Lee, K. N.', 'Maya, I.', 'McEntagart, M.', 'Northrup, H.', 'Pujalte, M.', 'Richardson, K.', 'Walker, S.', 'Koeleman, B. P. C.', 'Alders, M.', 'van Jaarsveld, R. H.', 'Oegema, R.']",2025-08-16
Karayol et al.,2024.0,"MSL2 variants lead to a neurodevelopmental syndrome with lack of coordination, epilepsy, specific dysmorphisms, and a distinct episignature",Am J Hum Genet,10.1016/j.ajhg.2024.05.001,1.0,MSL2- associated neurodevelopmental syndrome,Genetic syndromes,239.0,Raw individual-level data,Case control,2597.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Karayol, R.', 'Borroto, M. C.', 'Haghshenas, S.', 'Namasivayam, A.', 'Reilly, J.', 'Levy, M. A.', 'Relator, R.', 'Kerkhof, J.', 'McConkey, H.', 'Shvedunova, M.', 'Petersen, A. K.', 'Magnussen, K.', 'Zweier, C.', 'Vasileiou, G.', 'Reis, A.', 'Savatt, J. M.', 'Mulligan, M. R.', 'Bicknell, L. S.', 'Poke, G.', 'Abu-El-Haija, A.', 'Duis, J.', 'Hannig, V.', 'Srivastava, S.', 'Barkoudah, E.', 'Hauser, N. S.', 'van den Born, M.', 'Hamiel, U.', 'Henig, N.', 'Baris Feldman, H.', 'McKee, S.', 'Krapels, I. P. C.', 'Lei, Y.', 'Todorova, A.', 'Yordanova, R.', 'Atemin, S.', 'Rogac, M.', 'McConnell, V.', 'Chassevent, A.', 'Barañano, K. W.', 'Shashi, V.', 'Sullivan, J. A.', 'Peron, A.', 'Iascone, M.', 'Canevini, M. P.', 'Friedman, J.', 'Reyes, I. A.', 'Kierstein, J.', 'Shen, J. J.', 'Ahmed, F. N.', 'Mao, X.', 'Almoguera, B.', 'Blanco-Kelly, F.', 'Platzer, K.', 'Treu, A. B.', 'Quilichini, J.', 'Bourgois, A.', 'Chatron, N.', 'Januel, L.', 'Rougeot, C.', 'Carere, D. A.', 'Monaghan, K. G.', 'Rousseau, J.', 'Myers, K. A.', 'Sadikovic, B.', 'Akhtar, A.', 'Campeau, P. M.']",2024-06-18
