Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Link [application],Link [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Kleefstra syndrome (Kleefstra),Kleefstra syndrome (Kleefstra),Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,107.0,107.0,Pre-established MPS,97.0,769.0,7.0,20.0,90.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,Yes,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",,https://doi.org/10.1016/j.ajhg.2020.01.019,,
Koolen de Vreis syndrome (KDVS),Koolen de Vreis syndrome (KDVS),Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,136.0,136.0,Pre-established MPS,97.0,755.0,3.0,6.0,94.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,Yes,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",,https://doi.org/10.1016/j.ajhg.2020.01.019,,
Rubinstein-Taybi syndrome (RSTS),Rubinstein-Taybi syndrome (RSTS),Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,139.0,139.0,Pre-established MPS,97.0,788.0,2.0,39.0,95.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,Yes,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",,https://doi.org/10.1016/j.ajhg.2020.01.019,,
Williams–Beuren deletion syndrome (WBS),Williams–Beuren deletion syndrome (WBS),Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,82.0,82.0,Pre-established MPS,97.0,770.0,3.0,21.0,94.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,Yes,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",,https://doi.org/10.1016/j.ajhg.2020.01.019,,
22q11.2 deletion syndrome,22q11.2 deletion syndrome,Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,500.0,500.0,Pre-established MPS,97.0,66.0,9.0,11.0,88.0,55.0,Case control,Case control,Childhood and adolescence,Childhood and adolescence,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | P-value | top-ranking ?,,Association DNAm phenotype | Effect size * P-value | top-ranking ?,,Association DNAm phenotype | AUC | ?,,Pruning | Pairwise correlation | ?,,,,Machine learning | Support vector machine,Yes,4-fold cross-validation,No,No,not assessed,Not assessed,No,No,Not reported,Not reported,Not reported,Cell type,,,,
BAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2),BAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2),Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,500.0,500.0,Pre-established MPS,97.0,44.0,2.0,4.0,95.0,40.0,Case control,Case control,Childhood and adolescence,Childhood and adolescence,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | P-value | top-ranking ?,,Association DNAm phenotype | Effect size * P-value | top-ranking ?,,Association DNAm phenotype | AUC | ?,,Pruning | Pairwise correlation | ?,,,,Machine learning | Support vector machine,Yes,4-fold cross-validation,No,No,not assessed,Not assessed,No,No,Not reported,Not reported,Not reported,Cell type,,,,
Renpenning syndrome (RENS1),Renpenning syndrome (RENS1),Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,329.0,329.0,Pre-established MPS,97.0,64.0,3.0,8.0,94.0,56.0,Case control,Case control,Childhood and adolescence,Childhood and adolescence,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | P-value | top-ranking ?,,Association DNAm phenotype | Effect size * P-value | top-ranking ?,,Association DNAm phenotype | AUC | ?,,Pruning | Pairwise correlation | ?,,,,Machine learning | Support vector machine,Yes,4-fold cross-validation,No,No,not assessed,Not assessed,No,No,Not reported,Not reported,Not reported,Cell type,,,,
"Intellectual developmental disorder, autosomal dominant 23 (MRD23)","Intellectual developmental disorder, autosomal dominant 23 (MRD23)",Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,,,Pre-established MPS,97.0,,4.0,,93.0,,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Support vector machine,Yes,Train/test split: 75/25% | 10-fold cross-validation,No,Not reported,not assessed,Not reported,No,No,Not reported,Not reported,Not reported,"Cell type, 10 PCs",,,,
KBG syndrome,KBG syndrome,Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,,,Pre-established MPS,97.0,,3.0,,94.0,,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,Yes,Train/test split: 75/25% | 10-fold cross-validation,No,Not reported,not assessed,Not reported,No,No,Not reported,Not reported,Not reported,"Cell type, 10 PCs",,,,
Wolf-Hirschhorn syndrome (WHS),Wolf-Hirschhorn syndrome (WHS),Genetic syndromes,Genetic syndromes,S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,,,Pre-established MPS,97.0,,2.0,,95.0,,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Support vector machine,Yes,Train/test split: 75/25% | 10-fold cross-validation,No,Not reported,not assessed,Not reported,No,No,Not reported,Not reported,Not reported,"Cell type, 10 PCs",,https://doi.org/10.1016/j.ajhg.2021.04.025,,
Allergy,"['Allergy', 'Asthma', 'Asthma and rihinitis']",Physical health indicators,Physical health indicators,M. van Breugel; C. Qi; Z. Xu; C. T. Pedersen; I. Petoukhov; J. M. Vonk; U. Gehring; M. Berg; M. Bugel; O. A. Carpaij; E. Forno; A. Morin; A. U. Eliasen; Y. Jiang; M. van den Berge; M. C. Nawijn; Y. Li; W. Chen; L. J. Bont; K. Bonnelykke; J. C. Celedon; G. H. Koppelman; C. J. Xu,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,3.0,,Published summary statistics (semi-supervised),1291.0,,,,,,Population-based,,Adolescence,"['Childhood', 'Birth, Childhood and adolescence', 'Adolescence']",Nasal epithelial cells,"['Whole blood', 'Nasal epithelial cells']",450K,450K,Mixed,"['European', 'Mixed']",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Penalized regression | Elastic net,,Train/test split: 80/20%,,Yes,,Reported | AUC | Internal AUC = 0.835,,Yes,,Complete cases and common CpGs,,Not reported,"['sex, cohort, and technical covariables', ""maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."", ' age, sex, batch, study center, and surrogate variables']","http://dx.doi.org/10.1038/s41467-022-35088-6_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=36456559_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1038%2fs41467-022-35088-6","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/', 'https://www.sciencedirect.com/science/article/pii/S009167491832788X', 'https://www.sciencedirect.com/science/article/pii/S0091674920300348?via%3Dihub']",Yes,
Allergy,"['Allergy', 'Asthma', 'Asthma and rihinitis']",Physical health indicators,Physical health indicators,M. van Breugel; C. Qi; Z. Xu; C. T. Pedersen; I. Petoukhov; J. M. Vonk; U. Gehring; M. Berg; M. Bugel; O. A. Carpaij; E. Forno; A. Morin; A. U. Eliasen; Y. Jiang; M. van den Berge; M. C. Nawijn; Y. Li; W. Chen; L. J. Bont; K. Bonnelykke; J. C. Celedon; G. H. Koppelman; C. J. Xu,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1292.0,,,,,,Population-based,,Adolescence,"['Childhood', 'Birth, Childhood and adolescence', 'Adolescence']",Nasal epithelial cells,"['Whole blood', 'Nasal epithelial cells']",450K,450K,Mixed,"['European', 'Mixed']",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Naive bayes,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.72,,Yes,,Complete cases and common CpGs,,Not reported,"['sex, cohort, and technical covariables', ""maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."", ' age, sex, batch, study center, and surrogate variables']","http://dx.doi.org/10.1038/s41467-022-35088-6_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=36456559_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1038%2fs41467-022-35088-6","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/', 'https://www.sciencedirect.com/science/article/pii/S009167491832788X', 'https://www.sciencedirect.com/science/article/pii/S0091674920300348?via%3Dihub']",Yes,
Allergy,"['Allergy', 'Asthma', 'Asthma and rihinitis']",Physical health indicators,Physical health indicators,M. van Breugel; C. Qi; Z. Xu; C. T. Pedersen; I. Petoukhov; J. M. Vonk; U. Gehring; M. Berg; M. Bugel; O. A. Carpaij; E. Forno; A. Morin; A. U. Eliasen; Y. Jiang; M. van den Berge; M. C. Nawijn; Y. Li; W. Chen; L. J. Bont; K. Bonnelykke; J. C. Celedon; G. H. Koppelman; C. J. Xu,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1293.0,,,,,,Population-based,,Adolescence,"['Childhood', 'Birth, Childhood and adolescence', 'Adolescence']",Nasal epithelial cells,"['Whole blood', 'Nasal epithelial cells']",450K,450K,Mixed,"['European', 'Mixed']",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Neural network,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.73,,Yes,,Complete cases and common CpGs,,Not reported,"['sex, cohort, and technical covariables', ""maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."", ' age, sex, batch, study center, and surrogate variables']","http://dx.doi.org/10.1038/s41467-022-35088-6_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=36456559_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1038%2fs41467-022-35088-6","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/', 'https://www.sciencedirect.com/science/article/pii/S009167491832788X', 'https://www.sciencedirect.com/science/article/pii/S0091674920300348?via%3Dihub']",Yes,
Allergy,"['Allergy', 'Asthma', 'Asthma and rihinitis']",Physical health indicators,Physical health indicators,M. van Breugel; C. Qi; Z. Xu; C. T. Pedersen; I. Petoukhov; J. M. Vonk; U. Gehring; M. Berg; M. Bugel; O. A. Carpaij; E. Forno; A. Morin; A. U. Eliasen; Y. Jiang; M. van den Berge; M. C. Nawijn; Y. Li; W. Chen; L. J. Bont; K. Bonnelykke; J. C. Celedon; G. H. Koppelman; C. J. Xu,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1294.0,,,,,,Population-based,,Adolescence,"['Childhood', 'Birth, Childhood and adolescence', 'Adolescence']",Nasal epithelial cells,"['Whole blood', 'Nasal epithelial cells']",450K,450K,Mixed,"['European', 'Mixed']",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Random forest,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.838,,Yes,,Complete cases and common CpGs,,Not reported,"['sex, cohort, and technical covariables', ""maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."", ' age, sex, batch, study center, and surrogate variables']","http://dx.doi.org/10.1038/s41467-022-35088-6_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=36456559_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1038%2fs41467-022-35088-6","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/', 'https://www.sciencedirect.com/science/article/pii/S009167491832788X', 'https://www.sciencedirect.com/science/article/pii/S0091674920300348?via%3Dihub']",Yes,
Allergy,"['Allergy', 'Asthma', 'Asthma and rihinitis']",Physical health indicators,Physical health indicators,M. van Breugel; C. Qi; Z. Xu; C. T. Pedersen; I. Petoukhov; J. M. Vonk; U. Gehring; M. Berg; M. Bugel; O. A. Carpaij; E. Forno; A. Morin; A. U. Eliasen; Y. Jiang; M. van den Berge; M. C. Nawijn; Y. Li; W. Chen; L. J. Bont; K. Bonnelykke; J. C. Celedon; G. H. Koppelman; C. J. Xu,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1295.0,,,,,,Population-based,,Adolescence,"['Childhood', 'Birth, Childhood and adolescence', 'Adolescence']",Nasal epithelial cells,"['Whole blood', 'Nasal epithelial cells']",450K,450K,Mixed,"['European', 'Mixed']",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Support vector machine,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.799,,Yes,,Complete cases and common CpGs,,Not reported,"['sex, cohort, and technical covariables', ""maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."", ' age, sex, batch, study center, and surrogate variables']","http://dx.doi.org/10.1038/s41467-022-35088-6_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=36456559_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1038%2fs41467-022-35088-6","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/', 'https://www.sciencedirect.com/science/article/pii/S009167491832788X', 'https://www.sciencedirect.com/science/article/pii/S0091674920300348?via%3Dihub']",Yes,
Allergy,"['Allergy', 'Asthma', 'Asthma and rihinitis']",Physical health indicators,Physical health indicators,M. van Breugel; C. Qi; Z. Xu; C. T. Pedersen; I. Petoukhov; J. M. Vonk; U. Gehring; M. Berg; M. Bugel; O. A. Carpaij; E. Forno; A. Morin; A. U. Eliasen; Y. Jiang; M. van den Berge; M. C. Nawijn; Y. Li; W. Chen; L. J. Bont; K. Bonnelykke; J. C. Celedon; G. H. Koppelman; C. J. Xu,2022.0,Nasal DNA methylation at three CpG sites predicts childhood allergic disease,,,Published summary statistics (semi-supervised),1296.0,,,,,,Population-based,,Adolescence,"['Childhood', 'Birth, Childhood and adolescence', 'Adolescence']",Nasal epithelial cells,"['Whole blood', 'Nasal epithelial cells']",450K,450K,Mixed,"['European', 'Mixed']",Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Machine learning | Gradient boosting machine,,Train/test split: 80/20%,,Yes,,Reported | AUC | internal AUC = 0.826,,Yes,,Complete cases and common CpGs,,Not reported,"['sex, cohort, and technical covariables', ""maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."", ' age, sex, batch, study center, and surrogate variables']","http://dx.doi.org/10.1038/s41467-022-35088-6_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=36456559_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1038%2fs41467-022-35088-6","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/', 'https://www.sciencedirect.com/science/article/pii/S009167491832788X', 'https://www.sciencedirect.com/science/article/pii/S0091674920300348?via%3Dihub']",Yes,
CCL11,CCL11,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,45.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = -0.034,  p = 0.62","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
CCL25,CCL25,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,59.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = -0.023,  p = 0.73","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
CD6,CD6,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,41.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.51,  p = 0.45","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
