Author,Year,Title,DOI,Phenotype,Category,n MPSs,n CpGs,Based on,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Publication type,Journal,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Comparison,Missing_value_note,Covariates
S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,10.1101/2024.06.13.24308877.abstract,"['CCL11', 'CCL25', 'CD6', 'CXCL10', 'CXCL11', 'CXCL9', 'FGF21', 'HGF', 'MMP1', 'Oncostatin-M', 'VEGFA', 'ADA ', 'ARTN ', 'AXIN1 ', 'BetaNGF ', 'CASP8 ', 'CCL19 ', 'CCL20 ', 'CCL23 ', 'CCL28 ', 'CCL3 ', 'CCL4 ', 'CD244 ', 'CD40 ', 'CD5 ', 'CD8A ', 'CDCP1 ', 'CSF1 ', 'CST5 ', 'CX3CL1 ', 'CXCL1 ', 'CXCL5 ', 'CXCL6 ', 'ENRAGE ', 'FGF19 ', 'FGF23 ', 'FGF5 ', 'Flt3L ', 'GDNF ', 'IFNgamma ', 'IL10 ', 'IL10RA ', 'IL10RB ', 'IL12B ', 'IL13 ', 'IL15RA ', 'IL17A ', 'IL17C ', 'IL18 ', 'IL18R1 ', 'IL2 ', 'IL20 ', 'IL20RA ', 'IL22RA1 ', 'IL24 ', 'IL2RB ', 'IL33 ', 'IL4 ', 'IL5 ', 'IL6', 'IL7 ', 'IL8 ', 'LIF ', 'LIFR ', 'MCP1 ', 'MCP2 ', 'MCP3 ', 'MCP4 ', 'MMP10 ', 'NRTN ', 'NT3 ', 'OPG ', 'PDL1 ', 'SCF ', 'SIRT2 ', 'SLAMF1 ', 'ST1A1 ', 'STAMBP ', 'TGF alpha ', 'TNF ', 'TNFB ', 'TNFRSF9 ', 'TNFSF14 ', 'TRAIL ', 'TRANCE ', 'TSLP ', 'TWEAK ', 'uPA ']",Biological markers,278.0,,"['Pre-established MPS', 'Raw (individual-level) data']",222.0,,,Population-based,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,Journal Article,Clin Epigenetics,,,,,,"[nan, 'Penalized regression | Elastic net']","['No', '5-fold cross-validation']",No,"['Reported | Correlation | r = -0.034,  p = 0.62', 'Reported | Correlation | r = -0.023,  p = 0.73', 'Reported | Correlation | r = 0.51,  p = 0.45', 'Reported | Correlation | r = 0.086,  p = 0.2', 'Reported | Correlation | r = 0.11,  p = 0.11', 'Reported | Correlation | r = 0.022,  p = 0.74', 'Reported | Correlation | r = 0.056,  p = 0.4', 'Reported | Correlation | r = 0.13,  p = 0.055', 'Reported | Correlation | r = 0.074,  p = 0.27', 'Reported | Correlation | r = 0.81,  p = 0.23', 'Reported | Correlation | r = 0.096,  p = 0.15', 'Reported | Correlation | r = 0.136231632751718', 'Reported | Correlation | r = -0.07', 'Reported | Correlation | r = 0.052', 'Reported | Correlation | r = -0.0580003148812053', 'Reported | Correlation | r = 0.067', 'Reported | Correlation | r = -0.031', 'Reported | Correlation | r = 0.0927577528134565', 'Reported | Correlation | r = 0.088', 'Reported | Correlation | r = 0.13', 'Reported | Correlation | r = -0.12569439310634', 'Reported | Correlation | r = -0.12', 'Reported | Correlation | r = -0.14', 'Reported | Correlation | r = -0.0661015011394489', 'Reported | Correlation | r = -0.044', 'Reported | Correlation | r = -0.133608962083169', 'Reported | Correlation | r = 0.084', 'Reported | Correlation | r = -0.027', 'Reported | Correlation | r = -0.0348419351460552', 'Reported | Correlation | r = 0.29', 'Reported | Correlation | r = 0.032', 'Reported | Correlation | r = 0.0691043825501531', 'Reported | Correlation | r = -0.023', 'Reported | Correlation | r = 0.059', 'Reported | Correlation | r = 0.16443645515735', 'Reported | Correlation | r = 0.11', 'Reported | Correlation | r = -0.071', 'Reported | Correlation | r = 0.0164479777766081', 'Reported | Correlation | r = -0.046', 'Reported | Correlation | r = 0.00175211467785763', 'Reported | Correlation | r = 0.035', 'Reported | Correlation | r = -0.011', 'Reported | Correlation | r = -0.00740878546895612', 'Reported | Correlation | r = -0.038', 'Reported | Correlation | r = 0.1', 'Reported | Correlation | r = 0.0428764943447176', 'Reported | Correlation | r = 0.0034', 'Reported | Correlation | r = -0.007745844355305', 'Reported | Correlation | r = -0.0091', 'Reported | Correlation | r = 0.0457896493007407', 'Reported | Correlation | r = 0.028', 'Reported | Correlation | r = -0.064', 'Reported | Correlation | r = 0.0777560580801613', 'Reported | Correlation | r = -0.018', 'Reported | Correlation | r = -0.032', 'Reported | Correlation | r = 0.0845215163568444', 'Reported | Correlation | r = 0.012', 'Reported | Correlation | r = 0.051', 'Reported | Correlation | r = -0.104825593495983', 'Reported | Correlation | r = 0.2', 'Reported | Correlation | r = -0.119474762260386', 'Reported | Correlation | r = 0.078', 'Reported | Correlation | r = 0.0763020907578234', 'Reported | Correlation | r = 0.0017', 'Reported | Correlation | r = 0.15', 'Reported | Correlation | r = -0.0541713847423454', 'Reported | Correlation | r = 0.047', 'Reported | Correlation | r = -0.024', 'Reported | Correlation | r = 0.0377671161179379', 'Reported | Correlation | r = 0.063', 'Reported | Correlation | r = 0.0516774184797272', 'Reported | Correlation | r = 0.12', 'Reported | Correlation | r = 0.16', 'Reported | Correlation | r = 0.0871563035706649', 'Reported | Correlation | r = -0.0018', 'Reported | Correlation | r = -0.012', 'Reported | Correlation | r = 0.0164787148047476', 'Reported | Correlation | r = -0.021', 'Reported | Correlation | r = 0.013', 'Reported | Correlation | r = 0.0683929268769582', 'Reported | Correlation | r = 0.048', 'Reported | Correlation | r = -0.13', 'Reported | Correlation | r = 0.0218425557315187', 'Reported | Correlation | r = -0.087', 'Reported | Correlation | r = 0.104133144333686', 'Reported | Correlation | r = 0.015', 'Reported | Correlation | r = 0.04', 'Reported | Correlation | r = -0.011254797248706', 'Reported | Correlation | r = 0.092', 'Reported | Correlation | r = 0.038', 'Reported | Correlation | r = -0.0374033215193355', 'Reported | Correlation | r = 0.14', 'Reported | Correlation | r = -0.0206685636855067', 'Reported | Correlation | r = -0.0603617726599814', 'Reported | Correlation | r = -0.066', 'Reported | Correlation | r = -0.0542487305685527', 'Reported | Correlation | r = 0.072', 'Reported | Correlation | r = -0.042', 'Reported | Correlation | r = 0.0352402257048486', 'Reported | Correlation | r = -0.034', 'Reported | Correlation | r = 0.083', 'Reported | Correlation | r = -0.109715997970518', 'Reported | Correlation | r = 0.096', 'Reported | Correlation | r = -0.014', 'Reported | Correlation | r = 0.0356210950492961', 'Reported | Correlation | r = 0.043', 'Reported | Correlation | r = 0.0809889519611849', 'Reported | Correlation | r = 0.0085', 'Reported | Correlation | r = 0.00437132598052698', 'Reported | Correlation | r = 0.049', 'Reported | Correlation | r = 0.074', 'Reported | Correlation | r = 0.0907367431375909', 'Reported | Correlation | r = 0.0071', 'Reported | Correlation | r = -0.0460132891671891', 'Reported | Correlation | r = -0.09', 'Reported | Correlation | r = 0.00033', 'Reported | Correlation | r = -0.114830939281956', 'Reported | Correlation | r = 0.057', 'Reported | Correlation | r = -0.188372698538431', 'Reported | Correlation | r = 0.091', 'Reported | Correlation | r = -0.013', 'Reported | Correlation | r = 0.0989440750300546', 'Reported | Correlation | r = 0.022', 'Reported | Correlation | r = 0.0440811771347751', 'Reported | Correlation | r = 0.044', 'Reported | Correlation | r = 0.06', 'Reported | Correlation | r = 0.04716178298334', 'Reported | Correlation | r = -0.052', 'Reported | Correlation | r = 0.0861089171025457', 'Reported | Correlation | r = 0.024', 'Reported | Correlation | r = -0.065', 'Reported | Correlation | r = 0.150589394662987', 'Reported | Correlation | r = 0.38', 'Reported | Correlation | r = 0.124526497773164', 'Reported | Correlation | r = -0.076', 'Reported | Correlation | r = -0.022', 'Reported | Correlation | r = 0.0525606118484013', 'Reported | Correlation | r = -0.019', 'Reported | Correlation | r = -0.163238711858038', 'Reported | Correlation | r = 0.071', 'Reported | Correlation | r = 0.00473215920127021', 'Reported | Correlation | r = 0.0097', 'Reported | Correlation | r = -0.049', 'Reported | Correlation | r = 0.02014913303212', 'Reported | Correlation | r = -0.017', 'Reported | Correlation | r = 0.108038836774425', 'Reported | Correlation | r = 0.138312267446712', 'Reported | Correlation | r = 0.023', 'Reported | Correlation | r = 0.099', 'Reported | Correlation | r = 0.152905839896442', 'Reported | Correlation | r = 0.109026259346706', 'Reported | Correlation | r = -0.029', 'Reported | Correlation | r = -0.047', 'Reported | Correlation | r = 0.225830620906004', 'Reported | Correlation | r = -0.058', 'Reported | Correlation | r = 0.0359071583910913', 'Reported | Correlation | r = -0.0037', 'Reported | Correlation | r = -0.075', 'Reported | Correlation | r = 0.0876212245733813', 'Reported | Correlation | r = 0.09', 'Reported | Correlation | r = 0.193307472337588', 'Reported | Correlation | r = 0.019', 'Reported | Correlation | r = 0.144819668894181', 'Reported | Correlation | r = 0.011', 'Reported | Correlation | r = 0.115096096754838', 'Reported | Correlation | r = 0.07', 'Reported | Correlation | r = 0.0768318169999125', 'Reported | Correlation | r = -0.036', 'Reported | Correlation | r = 0.16964815844749', 'Reported | Correlation | r = 0.184449104790105', 'Reported | Correlation | r = 0.066', 'Reported | Correlation | r = -0.00726142029524169', 'Reported | Correlation | r = 0.23', 'Reported | Correlation | r = 0.0056', 'Reported | Correlation | r = 0.169985659570416', 'Reported | Correlation | r = 0.0402560698598416', 'Reported | Correlation | r = 0.025', 'Reported | Correlation | r = 0.105578490556784', 'Reported | Correlation | r = -0.086', 'Reported | Correlation | r = 0.120522666060663', 'Reported | Correlation | r = 0.22', 'Reported | Correlation | r = -0.0099', 'Reported | Correlation | r = 0.236639237360565', 'Reported | Correlation | r = -0.025', 'Reported | Correlation | r = -0.11', 'Reported | Correlation | r = 0.0488356578073598', 'Reported | Correlation | r = -0.13427029694345', 'Reported | Correlation | r = 0.03', 'Reported | Correlation | r = -0.0455644116107895', 'Reported | Correlation | r = -0.0539078628752647', 'Reported | Correlation | r = 0.018', 'Reported | Correlation | r = 0.115649155646262', 'Reported | Correlation | r = 0.085', 'Reported | Correlation | r = -0.03', 'Reported | Correlation | r = 0.00729223062727755', 'Reported | Correlation | r = 0.210206423004289', 'Reported | Correlation | r = -0.0095', 'Reported | Correlation | r = -0.105905880903077', 'Reported | Correlation | r = 0.098', 'Reported | Correlation | r = -0.0055497232423221', 'Reported | Correlation | r = -0.0264143635330906', 'Reported | Correlation | r = 0.057212478805269', 'Reported | Correlation | r = 0.020748087349689', 'Reported | Correlation | r = -0.051', 'Reported | Correlation | r = -0.0264602613620999', 'Reported | Correlation | r = -0.039', 'Reported | Correlation | r = -0.0528814708663226', 'Reported | Correlation | r = 0.042', 'Reported | Correlation | r = 0.036', 'Reported | Correlation | r = 0.218780094623085', 'Reported | Correlation | r = 0.046', 'Reported | Correlation | r = -0.0165577310321418', 'Reported | Correlation | r = -0.082', 'Reported | Correlation | r = 0.029', 'Reported | Correlation | r = 0.0967674027548641']",No,Not reported,Not reported
E. Schepke; M. Lofgren; T. Pietsch; T. Olsson Bontell; T. Kling; A. Wenger; S. Ferreyra Vega; A. Danielsson; S. Dosa; S. Holm; A. Oberg; P. Nyman; M. Eliasson-Hofvander; P. E. Sandstrom; S. M. Pfister; B. Lannering; M. Sabel; H. Caren,2022.0,DNA methylation profiling improves routine diagnosis of paediatric central nervous system tumours: A prospective population-based study,10.1111/nan.12838,Central nervous system tumour ,Cancer,1.0,,Pre-established MPS,240.0,,,Cohort study,Childhood and adolescence,Tumour cells,EPICv1,European,Journal Article,Neuropathol Appl Neurobiol,,,,,,,No,No,Not assessed,No,Not reported,Not reported
C. van den Oord; W. E. Copeland; M. Zhao; L. Y. Xie; K. A. Aberg; E. van den Oord,2022.0,DNA methylation signatures of childhood trauma predict psychiatric disorders and other adverse outcomes 17 years after exposure,10.1038/s41380-022-01597-5,"['Alcohol consumption', 'Anxiety', 'Depression', 'Externalizing behavior', 'Health problems', 'Poverty', 'Smoking', 'Social problems']","['Lifestyle and environment', 'Neuro-psychiatric health indicators', 'Physical health indicators']",14.0,"[np.float64(5000.0), np.float64(2500.0), np.float64(25000.0), np.float64(500.0), np.float64(100.0)]",Raw (individual-level) data,489.0,,,Population-based,Late childhood,Dried bloodspot,WGBS,Mixed,Journal Article,Mol Psychiatry,Biological relevance | Associated to certain phenotype | Trauma,"['Reproducibility | Tissue | CD03 specific', 'Reproducibility | Tissue | CD14 specific', 'Reproducibility | Tissue | Whole blood', 'Reproducibility | Tissue | CD15 specific', 'Reproducibility | Tissue | CD19 specific']",,,,Penalized regression | Elastic net,10-fold cross-validation,No,"['Not reported', 'Reported | AUC = 0.629', 'Reported | AUC = 0.535']",No,Liberal site inclusion to mitigate missingness,
M. Rajaprakash; M. Palmore; K. M. Bakulski; E. Howerton; K. Lyall; R. J. Schmidt; C. Newschaffer; L. A. Croen; I. Hertz-Picciotto; H. Volk; C. Ladd-Acosta; M. D. Fallin,2024.0,DNA methylation signatures of prenatal socioeconomic position associated with 36-month language outcomes,,Socioeconomic position,Lifestyle and environment,4.0,"[np.float64(18.0), np.float64(nan), np.float64(29.0)]",Published summary statistics (semi-supervised),"[np.float64(97.0), np.float64(127.0)]",,,Cohort study,Birth,"['Placenta', 'Cord blood']",450K,Mixed,Journal Article,Res Dev Disabil,Association DNAm phenotype | P-value | ?,Reproducibility | Array | 450K,"[nan, 'Biological relevance | Functional annotation | Grouped to genes']",,,Discovery EWAS | Linear regression,No,No,Not reported,No,Not reported,age and race
M. A. Levy; D. B. Beck; K. Metcalfe; S. Douzgou; S. Sithambaram; T. Cottrell; M. Ansar; J. Kerkhof; C. Mignot; M. C. Nougues; B. Keren; H. W. Moore; R. Oegema; J. C. Giltay; M. Simon; R. H. van Jaarsveld; J. Bos; M. van Haelst; M. M. Motazacker; E. M. J. Boon; G. W. E. Santen; C. A. L. Ruivenkamp; M. Alders; T. R. Luperchio; L. Boukas; K. Ramsey; V. Narayanan; G. B. Schaefer; R. Bonasio; K. F. Doheny; R. E. Stevenson; S. Banka; B. Sadikovic; J. A. Fahrner,2021.0,Deficiency of TET3 leads to a genome-wide DNA hypermethylation episignature in human whole blood,10.1038/s41525-021-00256-y,TET3 deficiency,Genetic syndromes,1.0,567.0,Raw (individual-level) data,80.0,16.0,64.0,Case control,Childhood and adolescence,Whole blood,"Multiple (450K, EPICv1)",European,Journal Article,npj Genom Med,Association DNAm phenotype | Actual change in methylation | > 10%,Association DNAm phenotype | P-value | p < .001,Association DNAm phenotype | AUC | > .90,Pruning | Pairwise correlation | < 0.80,,Machine learning | Support vector machine,Train/test split: 75/25%,Yes (n>1000),Not assessed,No,Excluding missing probes,Cell type
R. H. van Jaarsveld; J. Reilly; M. C. Cornips; M. A. Hadders; E. Agolini; P. Ahimaz; K. Anyane-Yeboa; S. A. Bellanger; E. van Binsbergen; M. J. van den Boogaard; E. Brischoux-Boucher; R. C. Caylor; A. Ciolfi; T. A. J. van Essen; P. Fontana; S. Hopman; M. Iascone; M. M. Javier; E. J. Kamsteeg; J. Kerkhof; J. Kido; H. G. Kim; T. Kleefstra; F. Lonardo; A. Lai; D. Lev; M. A. Levy; M. E. S. Lewis; A. Lichty; M. M. A. M. Mannens; N. Matsumoto; I. Maya; H. McConkey; A. Megarbane; V. Michaud; E. Miele; M. Niceta; A. Novelli; R. Onesimo; R. Pfundt; B. Popp; E. Prijoles; R. Relator; S. Redon; D. Rots; K. Rouault; K. Saida; J. Schieving; M. Tartaglia; R. Tenconi; K. Uguen; N. Verbeek; C. A. Walsh; K. Yosovich; C. J. Yuskaitis; G. Zampino; B. Sadikovic; M. Alders; R. Oegema,2023.0,Delineation of a KDM2B-related neurodevelopmental disorder and its associated DNA methylation signature,10.1016/j.gim.2022.09.006,"['CxxC domain KM2B-related NDD', 'KDM2B-related neurodevelopmental disorder']",Genetic syndromes,2.0,"[np.float64(107.0), np.float64(156.0)]",Raw (individual-level) data,75.0,15.0,60.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Gen Med,"['Association DNAm phenotype | P-value | top-ranking 1000', 'Association DNAm phenotype | P-value | top-ranking 900-1000']",Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,Association DNAm phenotype | Actual change in methylation | > 5%,,Machine learning | Support vector machine,Train/test split: 75/25% | Cross-validation ?,Yes (unclear how many),Not reported,No,Not reported,Cell type
S. Haghshenas; M. A. Levy; J. Kerkhof; E. Aref-Eshghi; H. McConkey; T. Balci; V. M. Siu; C. D. Skinner; R. E. Stevenson; B. Sadikovic; C. Schwartz,2021.0,"Detection of a DNA Methylation Signature for the Intellectual Developmental Disorder, X-Linked, Syndromic, Armfield Type",10.3390/ijms22031111,"Intellectual developmental disorder, X-linked syndromic, Armfield type (MRXSA)",Genetic syndromes,1.0,175.0,Raw (individual-level) data,,6.0,,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,International Journal of Molecular Sciences,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking 500,Pruning | Pairwise correlation | < 0.95,,Machine learning | Support vector machine,4-fold cross-validation,No,Reported | Specificty > 99%,No,Not reported,Cell type
L. E. Shorey-Kendrick; B. Davis; L. Gao; B. Park; A. Vu; C. D. Morris; C. V. Breton; R. Fry; E. Garcia; R. J. Schmidt,2024.0,Development and Validation of a Novel Placental DNA Methylation Biomarker of Maternal Smoking during Pregnancy in the ECHO Program,,Maternal smoking,Lifestyle and environment,12.0,"[np.float64(10.0), np.float64(18.0), np.float64(50.0), np.float64(120.0), np.float64(287.0), np.float64(1000.0), np.float64(21.0), np.float64(98.0)]",Raw (individual-level) data,96.0,72.0,24.0,Randomized controlled trial,Birth,Placenta,EPICv1,White,Journal Article,Environmental Health Perspectives,Association DNAm phenotype | P-value | top-ranking [tuning: 10-1000],"[nan, 'Reproducibility | Array | 450K', 'Pruning | Pairwise correlation | < 0.75 ', 'Reproducibility | Array | PACE']","[nan, 'Pruning | Pairwise correlation | < 0.75 ']",,,"['Machine learning | Random forest', 'Penalized regression | Lasso', 'Machine learning | Gradient boosting machine', 'Penalized regression | Elastic net']",10-fold cross-validation,Yes (n = 399; n = 237),"['Reported | AUC = 0.98 (internal)', 'Reported | Accuracy/Sensitivity/Specificity/Kappa/AUC/p_AUC | ELGAN: 0.6015,\t0.744,2\t0.584,3\t0.136,8\t0.7390,\t0.6651; RICHS: .4093,\t0.9143,\t0.3217,\t0.0914,\t0.7\t', 'Reported | AUC = 0.93 (internal)', 'Reported | AUC = 0.97 (internal)', 'Reported | Accuracy/Sensitivity/Specificity/Kappa/AUC/p_AUC |AUC; ELGAN: 0.3734\t0.8605\t0.3146\t0.051\t0.724\t0.6239; RICHS: 0.3797\t0.9143\t0.2871\t0.0756\t0.6897\t0.5855', 'Reported | Accuracy/Sensitivity/Specificity/Kappa/AUC/p_AUC| ELGAN: .4987\t0.7442\t0.4691\t0.0756\t0.6661\t0.6486; RICHS: 0.7173\t0.6571\t0.7277\t0.2552\t0.7598\t0.6099', 'Reported | AUC = 0.99 (internal)', 'Reported | AUC = 1.00 (internal)']",Yes,Reported | Weighted mean,Not reported
P. Choudhary; J. Ronkainen; J. Carson; V. Karhunen; A. Lin; P. E. Melton; M. R. Jarvelin; J. Miettunen; R. C. Huang; S. Sebert,2024.0,Developmental origins of psycho-cardiometabolic multimorbidity in adolescence and their underlying pathways through methylation markers: a two-cohort study,10.1007/s00787-024-02390-1,Maternal smoking,Lifestyle and environment,1.0,204.0,Pre-established MPS,1485.0,,,Population-based,Adolescence,Peripheral blood,450K,European,Journal Article,European Child & Adolescent Psychiatry ,,,,,,,No,No,Not reported,No,Not reported,Not reported
E. Aref-Eshghi; E. G. Bend; S. Colaiacovo; M. Caudle; R. Chakrabarti; M. Napier; L. Brick; L. Brady; D. A. Carere; M. A. Levy; J. Kerkhof; A. Stuart; M. Saleh; A. L. Beaudet; C. Li; M. Kozenko; N. Karp; C. Prasad; V. M. Siu; M. A. Tarnopolsky; P. J. Ainsworth; H. Lin; D. I. Rodenhiser; I. D. Krantz; M. A. Deardorff; C. E. Schwartz; B. Sadikovic,2019.0,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,10.1016/j.ajhg.2019.03.008,"['ADNP-1 syndrome', 'ADNP-2 syndrome', 'BAFopathy syndrome: no subtype specified', 'Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant (ADCADN)', 'CHARGE syndrome', 'Claes-Jensen syndrome', 'Cornelia de Lange syndrome (CdLS)', 'Dup7 syndrome', 'Floating Harbor syndrome (FLHS)', 'Genitopatellar syndrome (GTPTS)', 'Kabuki syndrome', 'Sotos syndrome', 'Trisomy 21 syndrome', 'Williams–Beuren deletion syndrome (WBS)', 'X-linked alpha-thalassemia/mental retardation syndrome (ATRX)']",Genetic syndromes,15.0,"[np.float64(72.0), np.float64(98.0), np.float64(40.0), np.float64(188.0), np.float64(59.0), np.float64(136.0), np.float64(nan), np.float64(63.0), np.float64(28.0), np.float64(47.0), np.float64(51.0)]",Raw (individual-level) data,"[np.float64(577.0), np.float64(576.0), np.float64(597.0), np.float64(570.0), np.float64(655.0), np.float64(575.0), np.float64(578.0), np.float64(583.0), np.float64(568.0), np.float64(617.0), np.float64(619.0), np.float64(601.0), np.float64(585.0), np.float64(582.0)]","[np.float64(12.0), np.float64(11.0), np.float64(32.0), np.float64(5.0), np.float64(90.0), np.float64(10.0), np.float64(13.0), np.float64(18.0), np.float64(3.0), np.float64(52.0), np.float64(54.0), np.float64(36.0), np.float64(20.0), np.float64(17.0)]",565.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Journal Article,Am J Hum Genet,"['Association DNAm phenotype | Actual change in methylation | > 15%', 'Association DNAm phenotype | Actual change in methylation | > 5%', 'Association DNAm phenotype | Actual change in methylation | > 20%', 'Association DNAm phenotype | Actual change in methylation | > 10%', 'Association DNAm phenotype | Actual change in methylation | > 25%']",Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | > .80,Pruning | Pairwise correlation | < 0.80,,Machine learning | Support vector machine,Train/test split: 75/25% | 10-fold cross-validation,Yes (n = 965),Not reported,No,No,Cell type
C. W. LaFlamme; C. Rastin; S. Sengupta; H. E. Pennington; S. J. Russ-Hall; A. L. Schneider; E. S. Bonkowski; E. P. Almanza Fuerte; T. J. Allan; M. P. Zalusky; J. Goffena; S. B. Gibson; D. M. Nyaga; N. Lieffering; M. Hebbar; E. V. Walker; D. Darnell; S. R. Olsen; P. Kolekar; M. N. Djekidel; W. Rosikiewicz; H. McConkey; J. Kerkhof; M. A. Levy; R. Relator; D. Lev; T. Lerman-Sagie; K. L. Park; M. Alders; G. Cappuccio; N. Chatron; L. Demain; D. Genevieve; G. Lesca; T. Roscioli; D. Sanlaville; M. L. Tedder; S. Gupta; E. A. Jones; M. Weisz-Hubshman; S. Ketkar; H. Dai; K. C. Worley; J. A. Rosenfeld; H. T. Chao; G. Neale; G. L. Carvill; Z. Wang; S. F. Berkovic; L. G. Sadleir; D. E. Miller; I. E. Scheffer; B. Sadikovic; H. C. Mefford,2024.0,Diagnostic utility of DNA methylation analysis in genetically unsolved pediatric epilepsies and CHD2 episignature refinement,,"['CHD2', 'Intellectual developmental disorder, autosomal dominant 23 (MRD23)']",Genetic syndromes,2.0,"[np.float64(200.0), np.float64(nan)]","['Raw (individual-level) data', 'Pre-established MPS']","[np.float64(nan), np.float64(516.0)]","[np.float64(29.0), np.float64(2.0)]","[np.float64(nan), np.float64(514.0)]",Case control,Not reported,Peripheral blood,EPICv1,Not reported,Journal Article,Nat Commun,"['Association DNAm phenotype | P-value | top-ranking 1000', nan]","['Association DNAm phenotype | P-value | top-ranking 1000', nan]","['Association DNAm phenotype | AUC | top-ranking 200', nan]","['Pruning | Pairwise correlation | < 0.85', nan]",,"['Machine learning | Support vector machine', nan]",No,No,Not assessed,"['Yes', 'No']",No,"['Cell type', 'Not reported']"
S. Haghshenas; A. Putoux; J. Reilly; M. A. Levy; R. Relator; S. Ghosh; J. Kerkhof; H. McConkey; P. Edery; G. Lesca; A. Besson; C. Coubes; M. Willems; N. Ruiz-Pallares; M. Barat-Houari; E. F. Tizzano; I. Valenzuela; Q. Sabbagh; J. Clayton-Smith; A. Jackson; J. Sullivan; R. Bromley; S. Banka; D. Genevieve; B. Sadikovic,2024.0,Discovery of DNA methylation signature in the peripheral blood of individuals with history of antenatal exposure to valproic acid,10.1016/j.gim.2024.101226,Fetal valproate syndrome,Physical health indicators,1.0,155.0,Raw (individual-level) data,110.0,55.0,55.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Genet Med,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | AUC | top-ranking 267,Pruning | Pairwise correlation | < 0.70,,Machine learning | Support vector machine,4-fold cross-validation,Yes (n=2800),Reported | Specificity 97.99%,No,Not reported,Cell type
K. Karimi; Y. Lichtenstein; J. Reilly; H. McConkey; R. Relator; M. A. Levy; J. Kerkhof; A. Bouman; J. D. Symonds; J. Ghoumid; T. Smol; K. Clarkson; K. Drazba; R. J. Louie; V. Miranda; C. McCann; J. Motta; E. Lancaster; S. Sallevelt; R. Sidlow; J. Morrison; M. Hannibal; J. O'Shea; V. Marin; C. Prasad; C. Patel; S. Raskin; S. M. Maria-Noelia; A. Diaz de Bustamante; D. Marom; T. Barkan; B. Keren; C. Poirsier; L. Cohen; E. Colin; K. Gorman; E. Gallant; L. A. Menke; I. Valenzuela Palafoll; N. Hauser; I. M. Wentzensen; J. Rankin; P. D. Turnpenny; P. M. Campeau; T. B. Balci; M. L. Tedder; B. Sadikovic; K. Weiss,2025.0,Discovery of a DNA methylation profile in individuals with Sifrim-Hitz-Weiss syndrome,,Sifrim-Hitz-Weiss syndrome,Genetic syndromes,1.0,218.0,Raw (individual-level) data,135.0,27.0,108.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Am J Hum Genet,Association DNAm phenotype | P-value | top-ranking 900,Association DNAm phenotype | P-value | top-ranking 900,Association DNAm phenotype | AUC | top-ranking 450,Pruning | Pairwise correlation | < 0.80,,Machine learning | Support vector machine,4-fold cross-validation,No,Reported | Full specificity ,No,Not reported,Cell type
