Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
TNFRSF1B,TNFRSF1B,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,83.0,83.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Trypsin-2,Trypsin-2,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,25.0,25.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Tryptase beta-2,Tryptase beta-2,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,106.0,106.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
VCAM1,VCAM1,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,32.0,32.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
VEGFA,VEGFA,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,159.0,159.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
WFIKKN2,WFIKKN2,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,66.0,66.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
GDF15,GDF15,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,1413.0,462.0,Pre-established MPS,332.0,17489.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,EPICv1,White,European,,Reproduciblity | Array | 450K,,,,,,,,,,Penalized regression | Elastic net,No,Cross-validation | ?,No,Yes (n = 332),Not assessed,Reported | r = .37,No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates",No,
NTproBNP,NTproBNP,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,1619.0,359.0,Pre-established MPS,332.0,16963.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,EPICv1,White,European,,Reproduciblity | Array | 450K,,,,,,,,,,Penalized regression | Elastic net,No,Cross-validation | ?,No,Yes (n = 500),Not assessed,Reported | r = .26,No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates",No,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,7.0,8.0,Pre-established MPS,332.0,12974.0,,,,,Cohort study,Cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,Mixed,,Association DNAm phenotype | P-value | top-ranking ?,,Pruning | R-squared | 0.1,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,No,Not assessed,Reported | Explained variance = 2.3-5.8,No,No,Not reported,Not reported,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
IL6,IL6,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,35.0,35.0,Pre-established MPS,332.0,875.0,,,,,Cohort study,Population-based,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,No,No,Yes (n=7028),Not assessed,"Reported | R2 = 4.4%, p = 2.1 × 10-5",No,No,Not reported,Reported | removed,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cell-type",No,
Glioma,Glioma,Cancer,Cancer,Metais et al.,2023.0,Clinico-pathological and epigenetic heterogeneity of diffuse gliomas with FGFR3::TACC3 fusion,,,Pre-established MPS,22.0,2801.0,,,,,Cohort study,Cohort,Childhood and adolescence,Childhood and adolescence,Tumour cells,Tumour cells,EPICv1,450K,Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Random forest,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 1104),Not assessed,Reported | AUC = .99,No,No,Not reported,No,Not reported,batch,,
Birth weight,Birth weight,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,72205.0,,Published summary statistics (semi-supervised),1070.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Dried bloodspot)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.930%, (b se p =−0.013 0.031 0.679)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)",No,
Birth weight,Birth weight,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,184.0,,Published summary statistics (semi-supervised),1070.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Dried bloodspot)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.022%, (b se p =  0.015 0.029 0.613)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)",No,
Birth weight,Birth weight,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,2249.0,,Published summary statistics (semi-supervised),1070.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Dried bloodspot)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.064%, (b se p =  0.031 0.032 0.344)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)",No,
Birth weight,Birth weight,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,13.0,,Published summary statistics (semi-supervised),1070.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Dried bloodspot)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.025%, (b se p = 0.016 0.032 0.613)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)",No,
Birth weight,Birth weight,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,958.0,,Published summary statistics (semi-supervised),1070.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Dried bloodspot)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.141%, (b se p = 0.038 0.032 0.237)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)",No,
Birth weight,Birth weight,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,9.0,,Published summary statistics (semi-supervised),1070.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Dried bloodspot)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.002%, (b se p = −0.005 0.033 0.882)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,76146.0,,Published summary statistics (semi-supervised),547.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Whole blood)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.930% (b se p = −0.256 0.158 0.105)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","age (continuous), sex and cell-type proportion, batch effects",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,187.0,,Published summary statistics (semi-supervised),547.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Whole blood)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.386%, (b se p = −0.125 0.153 0.416)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","age (continuous), sex and cell-type proportion, batch effects",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,1571.0,,Published summary statistics (semi-supervised),547.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Whole blood)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 1.683%, (b se p = −0.285 0.187 0.127)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","age (continuous), sex and cell-type proportion, batch effects",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,16.0,,Published summary statistics (semi-supervised),547.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Whole blood)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.149%, (b se p = −0.096 0.164 0.559)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","age (continuous), sex and cell-type proportion, batch effects",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,606.0,,Published summary statistics (semi-supervised),547.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Whole blood)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 2.223%, (b se p =  −0.304 0.183 0.096)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","age (continuous), sex and cell-type proportion, batch effects",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,9.0,,Published summary statistics (semi-supervised),547.0,,,,,,Twin study,,Mid childhood,Birth,Buccal cells,"Multiple (Cord blood, Whole blood)",EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.2742%, (b se p = −0.120 0.161 0.456)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","age (continuous), sex and cell-type proportion, batch effects",No,
BMI,BMI,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,55279.0,,Published summary statistics (semi-supervised),1072.0,,,,,,Twin study,,Mid childhood,Adulthood,Buccal cells,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.001%, (b se p = 0.003 0.017 0.878)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs",No,
BMI,BMI,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,183.0,,Published summary statistics (semi-supervised),1072.0,,,,,,Twin study,,Mid childhood,Adulthood,Buccal cells,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.042%, (b se p = 0.021 0.019 0.276)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs",No,
BMI,BMI,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,1079.0,,Published summary statistics (semi-supervised),1072.0,,,,,,Twin study,,Mid childhood,Adulthood,Buccal cells,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.003%, (b se p = −0.006 0.017 0.733)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs",No,
BMI,BMI,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,13.0,,Published summary statistics (semi-supervised),1072.0,,,,,,Twin study,,Mid childhood,Adulthood,Buccal cells,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.003%, (b se p =  0.005 0.019 0.772)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs",No,
BMI,BMI,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,422.0,,Published summary statistics (semi-supervised),1072.0,,,,,,Twin study,,Mid childhood,Adulthood,Buccal cells,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.006%, (b se p = −0.008 0.018 0.676)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs",No,
BMI,BMI,Physical health indicators,Physical health indicators,Odintsova et al.,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,6.0,,Published summary statistics (semi-supervised),1072.0,,,,,,Twin study,,Mid childhood,Adulthood,Buccal cells,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | Multiple p-values | reporting multiple levels,,Pruning | Pairwise correlation | ?,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression, explained variance | r2 = 0.006%, (b se p = −0.008 0.018 0.676)",,Yes,,Imputation | ImputePCA,,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate","Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs",No,
Smoking,Smoking,Lifestyle and environment,Lifestyle and environment,Raffington et al.,2023.0,Associations of DNA-Methylation Measures of Biological Aging With Social Disparities in Child and Adolescent Mental Health,,,Published summary statistics (semi-supervised),1183.0,,,,,,Twin study,,Late childhood,Adulthood,Saliva,Whole blood,EPICv1,450K,Mixed,Mixed,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"All methylation scores were residualized for technical covariates (array, slide, batch, cell composition); When used in model: Is covariate itself","sex age blood count, technical covariates",,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,Raffington et al.,2023.0,Associations of DNA-Methylation Measures of Biological Aging With Social Disparities in Child and Adolescent Mental Health,218.0,8.0,Pre-established MPS,1183.0,12974.0,,,,,Twin study,Cohort,Late childhood,Adulthood,Saliva,Whole blood,EPICv1,450K,Mixed,Mixed,,Association DNAm phenotype | P-value | top-ranking ?,,Pruning | R-squared | 0.1,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,No,Not reported,Reported | Explained variance = 2.3-5.8,No,No,Not reported,Not reported,"All methylation scores were residualized for technical covariates (array, slide, batch, cell composition); when used in model: age, gender, and an Age × Gender, BMI, pubertal status, DNAm smoke, family disadvantage","age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Rauschert et al.,2020.0,Machine Learning-Based DNA Methylation Score for Fetal Exposure to Maternal Smoking: Development and Validation in Samples Collected from Adolescents and Adults,28.0,28.0,Pre-established MPS,995.0,1278.0,296.0,168.0,699.0,110.0,Population-based,Population-based,Adolescence,Birth,Peripheral blood,Cord blood,450K,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 200,,,,,,,,,,Penalized regression | Lasso,,Train/test split: 80/20%,Yes (n = 517),No,"Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 88% and 72% internal, 87% and 61% for external","Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",Yes,Yes,Reported,Not reported,Not reported,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.",No,
Maternal smoking (newborns),Maternal smoking (newborns),Lifestyle and environment,Lifestyle and environment,Rauschert et al.,2020.0,Machine Learning-Based DNA Methylation Score for Fetal Exposure to Maternal Smoking: Development and Validation in Samples Collected from Adolescents and Adults,568.0,568.0,Pre-established MPS,995.0,754.0,296.0,,699.0,,Population-based,Population-based,Adolescence,Adulthood,Peripheral blood,Peripheral blood,450K,450K,White,European,,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,,No,Yes (n = 517),"Yes (later timepoint, n=230)","Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 70% and 68% internal, 65% and 76% external","Reported | AUC 0.69 [95% confidence interval (CI) 0.67, 0.73]",Yes,No,Reported,Not reported,Not reported,"Maternal age at birth and head of household social class, SVs",No,
Maternal smoking (older children),Maternal smoking (older children),Lifestyle and environment,Lifestyle and environment,Rauschert et al.,2020.0,Machine Learning-Based DNA Methylation Score for Fetal Exposure to Maternal Smoking: Development and Validation in Samples Collected from Adolescents and Adults,19.0,19.0,Pre-established MPS,995.0,754.0,296.0,,699.0,,Population-based,Population-based,Adolescence,Adulthood,Peripheral blood,Peripheral blood,450K,450K,White,European,,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,,No,Yes (n = 517),"Yes (later timepoint, n=230)","Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 79% and 58% internal, 65% and 77% external","Reported | AUC 0.72 (95% CI 0.69, 0.76; P for difference = 0.97)",Yes,No,Reported,Not reported,Not reported,"Maternal age at birth and head of household social class, SVs",No,
BMI,BMI,Physical health indicators,Physical health indicators,Reed et al.,2020.0,The association of DNA methylation with body mass index: distinguishing between predictors and biomarkers,135.0,,Published summary statistics (semi-supervised),906.0,,,,,,Population-based,,Adolescence,Adulthood,Peripheral blood,Whole blood,450K,450K,European,White,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,,No,,No,,"Reported | Explained variance | R2=3%, p = 3.91E−11",,No,,Not reported,,"age (except at birth), sex (where applicable), sample type (where applicable) and cell type proportions (B cell, CD4T, CD8T, Gran, Mono and NK).","age, sex, family relatedness (random effect), and surrogate variables (to account for differential cell proportions and technical effects",No,
